Name,Date,Price
PDR,18/05/2022,55.80 
PDR,17/05/2022,57.00 
PDR,16/05/2022,54.60 
PDR,13/05/2022,53.60 
PDR,12/05/2022,57.00 
PDR,11/05/2022,60.70 
PDR,10/05/2022,61.90 
PDR,09/05/2022,59.30 
PDR,06/05/2022,61.00 
PDR,05/05/2022,61.50 
PDR,04/05/2022,61.50 
PDR,29/04/2022,62.10 
PDR,28/04/2022,62.00 
PDR,27/04/2022,62.00 
PDR,26/04/2022,62.70 
PDR,25/04/2022,62.00 
PDR,22/04/2022,64.90 
PDR,21/04/2022,63.40 
PDR,20/04/2022,63.50 
PDR,19/04/2022,62.95 
PDR,18/04/2022,64.42 
PDR,15/04/2022,63.54 
PDR,14/04/2022,65.67 
PDR,13/04/2022,66.77 
PDR,12/04/2022,66.03 
PDR,08/04/2022,66.77 
PDR,07/04/2022,67.94 
PDR,06/04/2022,68.23 
PDR,05/04/2022,68.23 
PDR,04/04/2022,68.16 
PDR,01/04/2022,68.01 
PDR,31/03/2022,65.67 
PDR,30/03/2022,66.55 
PDR,29/03/2022,67.50 
PDR,28/03/2022,68.23 
PDR,25/03/2022,69.11 
PDR,24/03/2022,68.89 
PDR,23/03/2022,66.25 
PDR,22/03/2022,66.99 
PDR,21/03/2022,66.69 
PDR,18/03/2022,62.36 
PDR,17/03/2022,63.39 
PDR,16/03/2022,62.95 
PDR,15/03/2022,63.32 
PDR,14/03/2022,64.20 
PDR,11/03/2022,64.35 
PDR,10/03/2022,64.64 
PDR,09/03/2022,64.57 
PDR,08/03/2022,63.91 
PDR,07/03/2022,65.67 
PDR,04/03/2022,66.40 
PDR,03/03/2022,64.57 
PDR,02/03/2022,63.98 
PDR,01/03/2022,62.00 
PDR,28/02/2022,62.36 
PDR,25/02/2022,64.20 
PDR,24/02/2022,65.01 
PDR,23/02/2022,66.03 
PDR,22/02/2022,65.89 
PDR,21/02/2022,66.91 
PDR,18/02/2022,66.91 
PDR,17/02/2022,67.50 
PDR,16/02/2022,66.18 
PDR,15/02/2022,66.03 
PDR,14/02/2022,65.67 
PDR,11/02/2022,66.11 
PDR,10/02/2022,66.03 
PDR,09/02/2022,66.62 
PDR,08/02/2022,65.30 
PDR,07/02/2022,66.77 
PDR,28/01/2022,66.62 
PDR,27/01/2022,64.20 
PDR,26/01/2022,63.69 
PDR,25/01/2022,66.03 
PDR,24/01/2022,62.66 
PDR,21/01/2022,65.89 
PDR,20/01/2022,65.89 
PDR,19/01/2022,65.52 
PDR,18/01/2022,64.57 
PDR,17/01/2022,63.47 
PDR,14/01/2022,67.35 
PDR,13/01/2022,66.40 
PDR,12/01/2022,66.03 
PDR,11/01/2022,67.94 
PDR,10/01/2022,68.60 
PDR,07/01/2022,68.23 
PDR,06/01/2022,68.82 
PDR,05/01/2022,68.82 
PDR,04/01/2022,69.55 
PDR,31/12/2021,69.85 
PDR,30/12/2021,69.26 
PDR,29/12/2021,68.23 
PDR,28/12/2021,69.04 
PDR,27/12/2021,69.41 
PDR,24/12/2021,69.33 
PDR,23/12/2021,69.55 
PDR,22/12/2021,69.11 
PDR,21/12/2021,70.29 
PDR,20/12/2021,70.07 
PDR,17/12/2021,70.07 
PDR,16/12/2021,71.68 
