"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 04, 2020","35,168","35,527","36,016","34,679","2.72M","-0.83%"
"Feb 03, 2020","35,462","35,266","35,820","33,897","5.85M","-1.81%"
"Jan 31, 2020","36,114","36,831","37,352","36,016","4.30M","-2.81%"
"Jan 30, 2020","37,157","37,808","38,167","36,831","3.95M","-4.36%"
"Jan 22, 2020","38,851","38,982","39,145","38,623","1.38M","-0.67%"
"Jan 21, 2020","39,112","38,656","39,275","38,591","2.08M","1.18%"
"Jan 20, 2020","38,656","37,645","38,656","37,645","4.39M","2.15%"
"Jan 17, 2020","37,841","37,613","37,874","37,613","1.31M","0.61%"
"Jan 16, 2020","37,613","37,157","37,808","37,124","1.56M","1.23%"
"Jan 15, 2020","37,157","37,124","37,222","37,059","879.48K","0.09%"
"Jan 14, 2020","37,124","37,417","37,417","37,091","962.43K","-0.52%"
"Jan 13, 2020","37,319","37,319","37,580","37,189","864.72K","-0.52%"
"Jan 10, 2020","37,515","37,352","37,678","37,254","1.24M","0.53%"
"Jan 09, 2020","37,319","37,124","37,482","36,961","954.21K","1.51%"
"Jan 08, 2020","36,765","37,157","37,482","36,765","2.23M","-2.42%"
"Jan 07, 2020","37,678","37,385","37,678","36,928","1.94M","0.78%"
"Jan 06, 2020","37,385","37,417","37,613","37,157","1.17M","-0.52%"
"Jan 03, 2020","37,580","38,134","38,362","37,548","2.37M","-1.45%"
"Jan 02, 2020","38,134","37,157","38,134","37,059","2.15M","2.63%"
"Dec 31, 2019","37,157","37,157","37,450","37,157","1.81M","0.00%"
"Dec 30, 2019","37,157","36,994","37,319","36,896","1.85M","0.44%"
"Dec 27, 2019","36,994","36,831","36,994","36,668","1.46M","0.18%"
"Dec 26, 2019","36,928","37,124","37,124","36,537","1.85M","-0.53%"
"Dec 25, 2019","37,124","36,374","37,124","36,276","1.64M","2.34%"
"Dec 24, 2019","36,276","36,244","36,439","36,048","1.12M","0.27%"
"Dec 23, 2019","36,179","36,407","36,570","36,179","1.28M","0.27%"
"Dec 20, 2019","36,081","36,114","36,439","35,918","1.07M","0.64%"
"Dec 19, 2019","35,853","35,788","36,114","35,364","1.14M","0.00%"
"Dec 18, 2019","35,853","36,863","37,026","35,755","3.44M","-2.91%"
"Dec 17, 2019","36,928","37,091","37,319","36,863","1.34M","0.09%"
"Dec 16, 2019","36,896","36,505","36,896","36,342","1.33M","0.18%"
"Dec 13, 2019","36,831","36,994","37,385","36,602","1.40M","-0.35%"
"Dec 12, 2019","36,961","36,831","36,994","36,733","1.10M","0.35%"
"Dec 11, 2019","36,831","36,016","36,831","35,951","944.13K","1.80%"
"Dec 10, 2019","36,179","36,146","36,309","35,853","1.24M","0.09%"
"Dec 09, 2019","36,146","36,114","36,374","35,853","1.58M","0.09%"
"Dec 06, 2019","36,114","36,048","36,179","35,853","1.41M","0.18%"
"Dec 05, 2019","36,048","36,896","36,994","36,048","1.63M","-2.13%"
"Dec 04, 2019","36,831","35,527","36,831","35,396","1.72M","3.48%"
"Dec 03, 2019","35,592","35,201","35,657","34,810","1.78M","0.74%"
"Dec 02, 2019","35,331","35,657","35,788","35,331","1.93M","-0.55%"
"Nov 29, 2019","35,527","35,527","35,527","34,745","2.74M","0.00%"
"Nov 28, 2019","35,527","36,244","36,570","35,494","3.84M","-3.71%"
"Nov 27, 2019","36,896","37,059","37,222","36,798","765.45K","-0.26%"
"Nov 26, 2019","36,994","36,961","37,157","36,733","1.76M","1.34%"
"Nov 25, 2019","36,505","36,733","36,765","35,233","1.86M","0.00%"
"Nov 22, 2019","36,505","37,482","37,482","36,114","2.62M","-1.32%"
"Nov 21, 2019","36,994","38,134","38,134","36,994","3.64M","-3.07%"
"Nov 20, 2019","38,167","38,786","38,786","38,037","1.06M","-1.60%"
"Nov 19, 2019","38,786","38,460","38,786","38,362","891.63K","1.02%"
"Nov 18, 2019","38,395","38,656","38,949","38,297","1.03M","-0.59%"
"Nov 15, 2019","38,623","38,134","38,623","38,069","1.43M","1.46%"
"Nov 14, 2019","38,069","39,080","39,340","37,808","4.69M","-2.59%"
"Nov 13, 2019","39,080","39,862","39,992","38,786","4.46M","-1.96%"
"Nov 12, 2019","39,862","39,731","40,025","39,568","1.61M","0.33%"
"Nov 11, 2019","39,731","40,677","40,677","39,731","3.22M","-2.17%"
"Nov 08, 2019","40,611","40,872","40,872","40,220","2.38M","-0.56%"
"Nov 07, 2019","40,840","40,840","41,035","40,644","1.36M","0.56%"
"Nov 06, 2019","40,611","40,937","40,970","40,481","2.03M","-0.80%"
"Nov 05, 2019","40,937","41,263","41,328","40,905","2.08M","-0.40%"
"Nov 04, 2019","41,100","40,872","41,263","40,285","4.26M","0.72%"
"Nov 01, 2019","40,807","40,611","41,003","40,025","2.41M","0.48%"
"Oct 31, 2019","40,611","40,709","41,068","40,611","1.64M","-0.24%"
"Oct 30, 2019","40,709","41,166","41,296","40,611","3.82M","-1.65%"
"Oct 29, 2019","41,394","41,589","41,850","41,394","1.36M","-0.47%"
"Oct 28, 2019","41,589","41,720","42,078","41,524","2.37M","-0.24%"
"Oct 25, 2019","41,687","41,654","41,720","41,328","1.86M","0.31%"
"Oct 24, 2019","41,557","40,155","41,557","40,155","4.65M","3.49%"
"Oct 23, 2019","40,155","39,927","40,546","39,797","803.73K","0.08%"
"Oct 22, 2019","40,123","40,090","40,123","39,699","849.33K","0.16%"
"Oct 21, 2019","40,057","40,253","40,383","39,764","1.26M","0.00%"
"Oct 18, 2019","40,057","40,188","40,285","39,862","1.02M","0.00%"
"Oct 17, 2019","40,057","40,742","40,742","39,992","2.26M","-1.76%"
"Oct 16, 2019","40,774","41,068","41,231","40,742","996.45K","-0.32%"
"Oct 15, 2019","40,905","40,644","41,035","40,579","990.39K","0.64%"
"Oct 14, 2019","40,644","40,253","40,905","40,090","1.67M","1.05%"
"Oct 11, 2019","40,220","40,318","40,351","39,992","679.17K","-0.16%"
"Oct 10, 2019","40,285","40,285","40,514","39,992","927.27K","0.00%"
"Oct 09, 2019","40,285","40,220","40,383","39,960","775.14K","0.49%"
"Oct 08, 2019","40,090","39,438","40,090","39,308","1.85M","1.65%"
"Oct 07, 2019","39,438","40,090","40,318","39,438","2.61M","-1.63%"
"Oct 04, 2019","40,090","41,003","41,003","40,090","1.84M","-1.68%"
"Oct 03, 2019","40,774","40,448","40,807","40,416","2.72M","-0.08%"
"Oct 02, 2019","40,807","41,557","41,622","40,807","2.09M","-1.80%"
"Oct 01, 2019","41,557","41,100","41,654","41,100","1.74M","1.11%"
"Sep 30, 2019","41,100","42,046","42,208","41,068","2.04M","-1.49%"
